"Chuong","Zh","OutPara","ZhPara","Ratio","SpacePct","CJK","BadBytes","Dup","Status"
"955","960","65","65","1.47","21.58","0","0","0","OK"
"956","961","79","79","1.46","21.58","0","0","0","OK"
"957","962","54","54","1.45","21.11","0","0","0","OK"
"958","963","54","54","1.56","21.65","0","0","0","OK"
"959","964","62","62","1.47","21.62","0","0","0","OK"
"960","965","65","65","1.33","21.06","0","0","0","OK"
"961","966","56","56","1.48","22.32","0","0","0","OK"
"962","967","65","65","1.42","21.21","0","0","0","OK"
"963","968","62","62","1.5","21.27","0","0","0","OK"
"964","969","62","62","1.52","21.44","0","0","0","OK"
"965","970","59","59","1.52","21.44","0","0","0","OK"
"966","971","61","61","1.4","21.81","0","0","0","OK"
"967","972","73","73","1.52","20.98","0","0","0","OK"
"968","973","83","83","1.43","21.21","0","0","0","OK"
"969","974","47","47","1.49","22.02","0","0","0","OK"
"970","975","52","52","1.54","21.79","0","0","0","OK"
"971","976","53","53","1.54","21.18","0","0","0","OK"
"972","977","62","62","1.43","21.25","0","0","0","OK"
