"Chuong","Zh","OutPara","ZhPara","Ratio","SpacePct","CJK","BadBytes","Dup","Status"
"935","940","58","58","1.38","21.49","0","0","0","OK"
"936","941","49","49","1.46","21.69","0","0","0","OK"
"937","942","69","69","1.44","21.07","0","0","0","OK"
"938","943","74","74","1.5","21.12","0","0","0","OK"
"939","944","50","50","1.57","21.81","0","0","0","OK"
"940","945","69","69","1.52","20.81","0","0","0","OK"
"941","946","58","58","1.4","20.9","0","0","0","OK"
"942","947","56","56","1.52","21.47","0","0","0","OK"
"943","948","56","56","1.54","21.43","0","0","0","OK"
"944","949","81","81","1.49","21.15","0","0","0","OK"
"945","950","71","71","1.36","20.93","0","0","0","OK"
"946","951","67","67","1.49","20.57","0","0","0","OK"
"947","952","58","58","1.46","20.96","0","0","0","OK"
"948","953","69","69","1.43","21.02","0","0","0","OK"
"949","954","73","73","1.46","21.4","0","0","0","OK"
"950","955","67","67","1.46","21.5","0","0","0","OK"
"951","956","67","67","1.59","21.3","0","0","0","OK"
"952","957","66","66","1.54","21","0","0","0","OK"
"953","958","54","54","1.51","21.3","0","0","0","OK"
"954","959","63","63","1.56","21.14","0","0","0","OK"
