"Chuong","Zh","OutPara","ZhPara","Ratio","SpacePct","CJK","BadBytes","Dup","Status"
"856","861","65","65","1.45","20.98","0","0","0","OK"
"857","862","58","58","1.45","21.15","0","0","0","OK"
"858","863","77","77","1.41","21.04","0","0","0","OK"
"859","864","69","69","1.45","20.71","0","0","0","OK"
"860","865","59","59","1.49","21.48","0","0","0","OK"
"861","866","60","60","1.42","21.18","0","0","0","OK"
"862","867","71","71","1.32","21.11","0","0","0","OK"
"863","868","56","56","1.42","21.24","0","0","0","OK"
"864","869","77","77","1.42","20.93","0","0","0","OK"
"865","870","62","62","1.46","20.92","0","0","0","OK"
"866","871","70","70","1.43","20.91","0","0","0","OK"
"867","872","83","83","1.41","20.9","0","0","0","OK"
"868","873","69","69","1.45","21.03","0","0","0","OK"
"869","874","65","65","1.5","21.31","0","0","0","OK"
"870","875","57","57","1.5","21.22","0","0","0","OK"
"871","876","53","53","1.43","21.26","0","0","0","OK"
"872","877","61","61","1.44","20.81","0","0","0","OK"
"873","878","67","67","1.44","20.84","0","0","0","OK"
"874","879","57","57","1.45","20.59","0","0","0","OK"
"875","880","64","64","1.46","20.77","0","0","0","OK"
"876","881","62","62","1.43","21.35","0","0","0","OK"
"877","882","64","64","1.41","21.49","0","0","0","OK"
